numero_ley,resumen,url
5720,"ADHESION A LAS DISPOSICIONES DE LA LEY NACIONAL 14060, DE CREACION DEL GRAVAMEN SUSTITUTIVO DEL IMPUESTO A LA TRANSMISION GRATUITA DE BIENES.",https://normas.gba.gob.ar/ar-b/ley/1953/5720/9532
7112,"DECLáRASE DE UTILIDAD PúBLICA Y SUJETOS A EXPROPIACIóN INMUEBLES UBICADOS EN VILLA ILASA, PARTIDO DE LANúS SERáN DESTINADOS AL DESARROLLO DE UN PLAN ORGáNICO DE URBANIZACIóN INTEGRAL.",https://normas.gba.gob.ar/ar-b/ley/1965/7112/8161
11331,"ADHIéRESE LA PROVINCIA DE BUENOS AIRES AL CONTENIDO Y ALCANCE DE LA LEY NACIONAL 23302, LEY SOBRE POLíTICA INDíGENA Y APOYO A LAS COMUNIDADES ABORíGENES.(ABORIGENES-PUEBLOS ORIGINARIOS-COMUNIDADES)",https://normas.gba.gob.ar/ar-b/ley/1992/11331/5489
2932,"CREDITO SUPLEMENTARIO DE 22.000 PESOS, PRESUPUESTO ESCOLAR PARA EL AñO 1904 Y 1905.",https://normas.gba.gob.ar/ar-b/ley/1905/2932/14326
921,PRESUPUESTO DEL TELEGRAFO DEL FERROCARRIL OESTE PARA 1874.,https://normas.gba.gob.ar/ar-b/ley/1874/921/14961
8553,TRANSFIRIENDO A LA MUNICIPALIDAD DE LA PLATA OBRAS DE ARTE Y CONDUCTOS DE DESAGüES PLUVIALES EJECUTADOS POR EL MINISTERIO DE OBRAS PúBLICAS.  (DIRECCIóN DE HIDRáULICA),https://normas.gba.gob.ar/ar-b/ley/1975/8553/6889
4323,AUTORIZANDO A LA MUNICIPALIDAD DEL DOLORES A DONAR UN TERRENO AL GOBIERNO DE LA NACION PARA INSTALAR UNA ESCUELA DE ARTES Y OFICIOS.,https://normas.gba.gob.ar/ar-b/ley/1935/4323/10868
12728,DECLáRASE DE UTILIDAD PúBLICA Y SUJETO A EXPROPIACIóN UN INMUEBLE UBICADO EN EL PARTIDO DE ADOLFO GONZáLES CHáVES PARA SER AFECTADO AL DESTINO PREVISTO EN LA ORDENANZA N° 2002/96.,https://normas.gba.gob.ar/ar-b/ley/2001/12728/4133
8554,EXENCIóN DE REINTEGROS DE DIFERENCIAS SOBRE EL LíMITE AUTORIZADO Y DE INTERESES Y MULTAS A JUBILADOS Y PENSIONADOS QUE SE ENCUENTREN DESEMPEñANDO CARGOS.,https://normas.gba.gob.ar/ar-b/ley/1975/8554/6870
14021,CONDONA LA DEUDA EN QUE EL FISCO DE LA PROV.SEA ACREEDOR Y QUE POR TODO CONCEPTO MANTIENE EL INMUEBLE DEL PARTIDO DE BERISSO. (UNIVERSIDAD NACIONAL DE LA PLATA-CAMPUS HABITACIONAL UNIVERSITARIO),https://normas.gba.gob.ar/ar-b/ley/2009/14021/2840
15404,CREA EL RÉGIMEN DE PROMOCIÓN E INCENTIVO PARA LA INDUSTRIA Y EL COMERCIO VITIVINÍCOLA.,https://normas.gba.gob.ar/ar-b/ley/2023/15404/335568
8551,(DEROGADA POR LEY 9047) DONANDO A LA MUNICIPALIDAD DE CAPITAN SARMIENTO FRACCION DE TIERRA FISCAL.(AMPLIACIóN DEL áREA DE ESPARCIMIENTO LA HORQUETA),https://normas.gba.gob.ar/ar-b/ley/1975/8551/6887
11336,"AUTORÍZASE A LA MUNICIPALIDAD DE TAPALQUÉ, A PROCEDER A LA VENTA DE UN INMUEBLE UBICADO EN EL PARTIDO DE TAPALQUÉ.(MATADERO MUNICIPAL)",https://normas.gba.gob.ar/ar-b/ley/1992/11336/5494
7108,AUTORIZACIóN A LA MUNICIPALIDAD DE LINCOLN PARA DESTINAR LA CONTRI­BUCIóN ACORDADA POR LEY 7003 A LA COOPERADORA DE LA ESCUELA DIFERENCIADA N° 1 DE ESE DISTRITO.,https://normas.gba.gob.ar/ar-b/ley/1965/7108/8170
4324,"CONCEDIENDO AL GOLF CLUB, DE TRES ARROYOS, EL USUFRUCTO GRATUITO DE TIERRAS POR QUINCE AÑOS.",https://normas.gba.gob.ar/ar-b/ley/1935/4324/10864
922,PRESUPUESTO DEL SENADO PARA 1875,https://normas.gba.gob.ar/ar-b/ley/1874/922/14978
5716,EXPROPIACION DE TIERRAS EN OLAVARRIA PARA CREACION DE UN CAMPO DE DEPORTES.,https://normas.gba.gob.ar/ar-b/ley/1953/5716/9541
5715,"ACUÉRDASE POR UNA SOLA VEZ Y EN CARÁCTER DE SUBSIDIO PARA LA ERECCIÓN DE UNA ESTATUA ECUESTRE AL GENERAL DON JOSÉ DE SAN MARTÍN, EN LA LOCALIDAD DE CHACABUCO.",https://normas.gba.gob.ar/ar-b/ley/1953/5715/9542
916,CREDITO DE 2.000.000 DE DUROS PARA REPELER LA REBELION DEL 24 DE SEPTIEMBRE.,https://normas.gba.gob.ar/ar-b/ley/1874/916/14879
12724,"NORMAS DE FUNCIONAMIENTO DE LA CAJA DE SEGURIDAD SOCIAL PARA LOS PROFESIONALES DE CIENCIAS ECONóMICAS. DEROGA LA LEY 12109, CON EXCEPCIóN DE SUS ART.41,43,44,45,46, 47,48 Y 49 QUE QUEDARáN VIGENTES POR 180 DíAS.(FUNCIONES-AFILIADOS)",https://normas.gba.gob.ar/ar-b/ley/2001/12724/4134
